address,emergency_end_stakes
0xC4868EbC1E47c5CC31094C45eCe934D307e3D5c3,6
0x5B9BE4231A58A61a8af54290EcB66Ac32471ffE5,8
0xcF8517505380c5cF66Ddc0f39Ac8A37B93067Efa,4
0x053F98e70820a17f4a5E7640BF17E7aA8F97a0cC,3
0x730b8D2F30fF21b0824cbB842a5cbD5609D462E0,1
0xdC8Ab4b5281E74A198C61C30904A5A75363dE06d,6
0x9Ca50Ab4B8b26B3505073A169d5DbDfDF10baBBD,1
0x96555a0b619c4973B6B8E6e5F990327ec88C7CBF,3
0xf0d51639c9e9508196D5E4a6EbfB6f76Db6EcaC8,1
0xee03B2D7E7903012d5d9238139De657493c69C7F,2
0x8f59F6717Ee15685aA97Ee41fb4405E184fbC889,15
0xE5E77278c271456306a6f8C72577d5869D134B16,8
0x08F03850F2dDB31a1522dD91e7C531Eabfa6576A,1
0xddA7Dc764442dbD8A7ef2765c4c4ee1Be78Df3b0,1
0x760B040a913D386B1A16c25A3044fd684887Bb8E,1
0x8fCe4eb52f6af9d478aaeF41EA1A6092D78dDDDc,1
0x60Cf56721D5801732f11078B64F78B0201090483,1
0xB490aC5eA65e2d9363Fa9336652C8d5C1e7554e5,10
0x4088b32F7349308E8B07adb4B6914dFaE932F750,2
0x0765241F5bBDAb6B13C17F260F53D3853BfCD3b4,1
0x0bf37c2B94513c6Ada325124B4ef1BEE8a1a5FA8,5
0x45861a9EdaE9f807420380474Dc05094019Fa16D,1
0x8f566f82c13FFb1BC72169dDB7BeB1B19A5726ff,1
0xd935860aE2126ebF0b5CF4750Fa38DBed3ba7Ba0,2
0x5761D681396dB57eecB4f1Ae0fa86782c018BD7d,1
0xfBC0260C94Dac411652D339E9C772cE6720b0af8,1
0xaEc246410cf4b58aa1fC8c04a14d0Dc71D0De3FE,1
0x86a3F863a3a3EF928c67bcCF5A191aBb7D6e2F0C,1
0x76Ae19a5384d7548926BBAA27f1f6D2C66A5cad4,1
0xE64623F6F4ac3CEB488D2E884a12e94458A29b17,1
0xD704b13fFF5Cb180d18573153141A663FB9DDaD4,1
0x59589A9364F8F47279E342bD36EE9B45Fc4B94AA,1
0x5F13684890FEacdaC9592475Afa2C36217168855,5
0xBDb26730eC04Cc0a4Ff35e2CB357c0dC019e49fE,1
0xf5b556dB02f5053D9a7cDf5ddeb2A140f35cC9c4,1
0x073DAB792388D79C6a6a9491b720e065Ca9dDcbE,1
