address,net_sold_usdc
0x0000000003370b0Ee6aFe7A56B151f9B81CB62fC,-87253.338332
0x0000000003B3ea5D02e96699b597479D82C9a17d,-181003.628764
0x000000003a5154bC2A032AEb96f71b67Af9E31B0,-106005.766674
0x0000000056fe1A43449d3C659012924ce8F41505,-55682.669849
0x000000007Cb2bD00Ae5Eb839930Bb7847ae5B039,-273633.231760
0x000000007D835fd60C226f4d1AaEE6c38Ff19D0D,-66995.930503
0x00000000b2De13965f762347D02DDabB06Ea216d,-124574.537607
0x00000006e42915A2B6907f8b3fAF311B68862f60,-132319.429887
0x000076a33Ef6A2027f01f73f7Dbb122A8f31F61d,-418762.385680
0x000Ab0E89a000f8E6933546ee59A44d4a244429F,-63257.945630
0x00356cE6250f8489D23fF32742256AB5Be9Dd8D7,-140826.619125
0x0037825fD75af7EEaCe28889665e3FAC8fdb6300,-108971.491243
0x00439eCE6cA907dcbA1d86e97c6AE32497cF2146,-486216.023943
0x004729548911C317B7D634F426F8eC525A515293,-218726.285385
0x005040de06b45528C501bF2EA1E5f5A8522C845F,-280914.403980
0x0059Fe5C2342a34c2d2d5F7B3D76d4158c3C6aD0,-58881.758581
0x00809B9263aAB2856bF65Be3D3Bc3fcB9e19c1Fb,-99466.440572
0x00D69ef746Ae701cC3aa228C08b6Cc2367e8433b,-89244.910486
0x00a84DcE86b3C252a42255b3AF49329E32405E26,-370294.518846
0x00bC71bb2871Eeb67df03E04529fF2C609CD9C72,-6127884.226400
0x00d2f4Eb459bd4F7b175fd0CEC578229bfa3BDe7,-91969.480423
0x00ed9ecfEb52261EB790693e2eE602462027dDd6,-381731.260239
0x01181BE6C5AaAfa05deF979100ef73bB8C0E53f0,-2515850.297107
0x0137600F2714983210dc8F3340Dd9BC666aFcE0a,-184554.729043
0x0176FC61597ce36d2aD37f1FC1ea1b592735E422,-57896.077528
0x0181BB567AFB874D1052b19757A57683c860E3DD,-1097532.087209
0x0188d543C817Df085Ce24ecb005698785768bDc9,-236141.694507
0x01B5104Ab92a3c6ADEDd99578C261f5cDAcae2eA,-428870.308757
0x01FA2097FE51DA010a770fC27536920Bb3E77817,-96738.033508
0x01a045A5d7eB3E2AB02ab631fC54093d4d9d24DC,-58908.175255
0x021Cc9A2E07525a0fd139DB00340d2319e973D39,-163348.772191
0x022303EF2a1224c6AEF200eA068d6397b1082f7a,-339205.508542
0x023B9bF246D151CF99cC5eC2cf8c8f23947AE9C1,-506870.926329
0x02501d2441F5d541782F79fD7579B19eCF89EB79,-547899.085331
0x02597524979E32aE9D6Bf086aD1191f031DDaB82,-59034.110194
0x02897BC94BD48c72ceaaBe82179D39cE64356Ee0,-95180.081915
0x02C74f79547f54C171c03cFDe42411B39f52Ee87,-4108884.183046
0x02Cd173B9058E8bA36a01AA2CAcEAFa3aD9b9066,-472132.748780
